At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1; # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best		qualifying
AA	FM		FM VF          
AB	FD		FD VFM          
AC	FM		FM VF          
AD	FD		FD           
AE	VF		VF FM          
AF	VF		VF FM          
AG	FM		FM           
AH	FD		FD           
AI	VD*		           
AJ	FM		FM VF          
AK	FD		FD           
AL	FM		FM FD          
AM	FD		FD           
AN	VF		VF FM          
AO	VF		VF FM          
AP	FM		FM FD          
AQ	F		F           
AR	FM		FM FD          
AS	FD		FD           
AT	FM		FM VF          
AU	F		F           
AV	VD*		           
AW	FD		FD FM          
AX	VD*		           
AY	F		F           
AZ	VF		VF           
BA	FM		FM VM VD         
BB	VM		VM FD VD         
BC	FM		FM VM VD         
BD	VF		VF VM FD VD        
BE	FM		FM VM VD         
BF	VM		VM FM VD         
BG	FM		FM VM VF VD        
BH	FD		FD VM VF VD        
BI	VM		VM VD          
BJ	FM		FM VM VD         
BK	FD		FD VM VF VD        
BL	VF		VF VM FM FD VD       
BM	VF		VF FD VM VD        
BN	VM		VM FM VD         
BO	VM		VM FM VD         
BP	VM		VM FM VF FD VD       
BQ	VM		VM VD F         
BR	VF		VF VM FM FD VD       
BS	VM		VM FD VF VD        
BT	FM		FM VM VD         
BU	VM		VM F VD         
BV	VF		VF VM VD         
BW	VF		VF VM FD FM VD       
BX	VM		VM VD          
BY	F		F VM VD         
BZ	VM		VM VD          
CA	FM		FM VD VF         
CB	VD		VD FD          
CC	VD		VD FM          
CD	VD		VD VF FD         
CE	VD		VD FM VF         
CF	VD		VD FM          
CG	VF		VF VD FM         
CH	FD		FD VD          
CI	VD		VD           
CJ	FM		FM VD VF         
CK	FD		FD VD          
CL	VD		VD VF FM FD        
CM	VD		VD FD VF         
CN	VD		VD FM          
CO	VD		VD FM VF         
CP	VF		VF VD FM FD        
CQ	VD		VD F          
CR	VF		VF VD FM FD        
CS	VD		VD FD          
CT	VD		VD FM VF         
CU	VD		VD F          
CV	VD		VD           
CW	VD		VD VF FD FM        
CX	VD		VD           
CY	F		F VD          
CZ	VD		VD           
DA	FM		FM VD          
DB	VD		VD FD          
DC	FM		FM VD          
DD	VF		VF VD FD         
DE	FM		FM VD          
DF	VD		VD FM          
DG	VF		VF FM VD         
DH	FD		FD VD          
DI	VD		VD           
DJ	FM		FM VD VF         
DK	FD		FD VD          
DL	VF		VF FM VD FD        
DM	VF		VF FD VD         
DN	FM		FM VD          
DO	FM		FM VD          
DP	VF		VF FM VD FD        
DQ	VD		VD F          
