At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1 # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best	sans-F		qualifying
AA	FM			FM VF
AB	FD			FD VFM
AC	FM			FM VF
AD	FD			FD
AE	VF			VF FM
AF	VF			VF FM
AG	FM			FM
AH	FD			FD
AI	VD*			
AJ	FM			FM VF
AK	FD			FD
AL	FM			FM FD
AM	FD			FD
AN	VF			VF FM
AO	VF			VF FM
AP	FM			FM FD
AQ	F			F
AR	FM			FM FD
AS	FD			FD
AT	FM			FM VF
AU	F			F
AV	VD*			
AW	FD			FD FM
AX	VD*			
AY	F			F
AZ	VF			VF
BA	FM	VM		FM VM VD
BB	VM	VM		VM FD VD
BC	FM	VM		FM VM VD
BD	VF	VM		VF VM FD VD
BE	FM	VM		FM VM VD
BF	VM	VM		VM FM VD
BG	FM	VM		FM VM VF VD
BH	FD	VM		FD VM VF VD
BI	VM	VM		VM VD
BJ	FM	VM		FM VM VD
BK	FD	VM		FD VM VF VD
BL	VF	VM		VF VM FM FD VD
BM	VF	VM		VF FD VM VD
BN	FM	VM		FM VM VD
BO	FM	VM		FM VM VD
BP	VM	VM		VM FM VF FD VD
BQ	VM	VM		VM F VD
BR	VF	VM		VF VM FM FD VD
BS	VM	VM		VM FD VF VD
BT	FM	VM		FM VM VD
BU	VM	VM		VM F VD
BV	VF	VM		VF VM VD
BW	VF	VM		VF VM FD FM VD
BX	VM	VM		VM VD
BY	F	VM		F VM VD
BZ	VM	VM		VM VD
CA	FM	VD		FM VD VF
CB	VD	VD		VD FD
CC	VD	VD		VD FM
CD	VD	VD		VD VF FD
CE	VD	VD		VD FM VF
CF	VD	VD		VD FM
CG	VF	VD		VF VD FM
CH	FD	VD		FD VD
CI	VD	VD		VD
CJ	FM	VD		FM VD VF
CK	FD	VD		FD VD
CL	VD	VD		VD VF FM FD
CM	VD	VD		VD FD VF
CN	VD	VD		VD FM
CO	VD	VD		VD FM VF
CP	VF	VD		VF VD FM FD
CQ	VD	VD		VD F
CR	VF	VD		VF VD FM FD
CS	VD	VD		VD FD
CT	VD	VD		VD FM VF
CU	VD	VD		VD F
CV	VD	VD		VD
CW	VD	VD		VD VF FD FM
CX	VD	VD		VD
CY	F	VD		F VD
CZ	VD	VD		VD
DA	FM	VD		FM VD
DB	VD	VD		VD FD
DC	FM	VD		FM VD
DD	VF	VD		VF VD FD
DE	FM	VD		FM VD
DF	VD	VD		VD FM
DG	VF	VD		VF FM VD
DH	FD	VD		FD VD
DI	VD	VD		VD
